Name,Position,Year,Selection,GPYr1,PSYr1,TOIYr1,GPYr2,PSYr2,TOIYr2,GPYr3,PSYr3,TOIYr3,GPYr4,PSYr4,TOIYr4,GPYr5,PSYr5,TOIYr5,GPYr6,PSYr6,TOIYr6,GPYr7,PSYr7,TOIYr7
Taylor Hall,LW,2010,1,65,4.5,1183:38,61,7.1,1111:20,45,6.1,837:55,75,9.0,1501:02,53,4.3,1018:39,82,7.6,1574:45,72,5.9,1391:50
Tyler Seguin,C,2010,2,74,1.7,903:32,81,9.7,1372:04,48,5.0,816:44,80,11.6,1547:49,71,10.2,1388:08,72,9.6,1399:51,82,7.5,1513:46
Erik Gudbranson,D,2010,3,0,N/A,0:00,72,0.8,1022:15,32,-0.6,599:57,65,1.7,1168:46,76,2.9,1413:46,64,2.1,1287:12,30,0.5,610:03
Ryan Johansen,C,2010,4,0,N/A,0:00,67,1.9,853:16,40,0.6,643:22,82,8.6,1447:01,82,7.8,1599:11,42,4.0,745:51,82,5.8,1544:31
Nino Niederreiter,RW,2010,5,9,0.1,122:20,55,-1.9,556:21,0,N/A,0:00,81,4.2,1141:41,80,5.1,1163:37,82,5.5,1274:34,82,7.4,1235:53
Brett Connolly,RW,2010,6,0,N/A,0:00,68,0.2,780:03,5,0.0,51:22,11,-0.2,132:12,5,0.1,71:49,71,2.2,920:14,66,3.7,705:31
Jeff Skinner,C,2010,7,82,8.1,1371:59,64,5.1,1191:59,42,1.9,775:28,71,7.6,1220:46,77,2.9,1235:42,82,7.0,1335:31,79,8.8,1401:21
Alexander Burmistrov,C,2010,8,74,0.6,978:04,76,2.4,1266:21,44,0.3,688:09,0,N/A,0:00,0,N/A,0:00,81,0.4,1309:59,26,1.4,400:29
Mikael Granlund,C,2010,9,0,N/A,0:00,0,N/A,0:00,27,0.4,355:49,63,3.5,1091:28,68,4.1,1216:59,82,3.6,1485:48,81,8.5,1524:47
Dylan McIlrath,D,2010,10,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,2,-0.1,14:03,1,0.0,8:02,34,1.5,480:13,5,0.1,47:52
