Name,Position,Year,Selection,GPYr1,PSYr1,TOIYr1,GPYr2,PSYr2,TOIYr2,GPYr3,PSYr3,TOIYr3,GPYr4,PSYr4,TOIYr4,GPYr5,PSYr5,TOIYr5,GPYr6,PSYr6,TOIYr6,GPYr7,PSYr7,TOIYr7
Rasmus Dahlin,D,2018,1,82,6.6,1734:45,59,5.1,1138:26,56,2.0,1210:03,80,7.1,1921:09,78,10.2,2012:04,81,9.4,2059:13,42,9.2,1027:21
Andrei Svechnikov,RW,2018,2,82,3.9,1201:02,68,6.9,1138:11,55,4.3,964:39,78,7.9,1346:16,64,6.1,1155:05,59,5.8,1001:48,51,5.4,895:59
Jesperi Kotkaniemi,C,2018,3,79,2.6,1085:35,36,0.2,467:46,56,1.2,828:37,66,2.7,793:32,82,4.5,1208:21,79,2.1,1025:21,51,3.9,705:36
Brady Tkachuk,LW,2018,4,71,4.4,1137:46,71,3.9,1344:20,56,3.2,1020:52,79,7.1,1485:07,82,8.9,1527:50,81,8.2,1550:31,50,6.3,926:33
Barrett Hayton,C,2018,5,0,N/A,0:00,20,0.3,222:51,14,0.2,160:51,60,1.4,967:02,82,3.2,1434:49,33,-0.1,561:27,50,4.3,770:01
Filip Zadina,RW,2018,6,9,0.0,138:28,28,1.3,424:51,49,1.2,823:29,74,0.8,1049:03,30,0.2,392:54,72,0.7,960:28,0,N/A,0:00
Quinn Hughes,D,2018,7,5,0.4,90:24,68,6.5,1488:09,56,4.2,1277:03,76,10.1,1919:07,78,10.2,2001:35,82,14.4,2024:10,46,14.2,1165:54
Adam Boqvist,D,2018,8,0,N/A,0:00,41,2.0,665:07,35,1.9,594:39,52,2.9,886:23,46,3.0,857:08,35,0.9,639:55,18,1.5,231:10
Vitali Kravtsov,RW,2018,9,0,N/A,0:00,0,N/A,0:00,20,0.0,247:56,0,N/A,0:00,16,-0.1,173:24,0,N/A,0:00,0,N/A,0:00
Evan Bouchard,D,2018,10,7,-0.1,86:29,0,N/A,0:00,14,0.8,207:41,81,7.0,1604:12,82,5.4,1518:21,81,13.1,1862:46,50,10.7,1174:22
Oliver Wahlstrom,RW,2018,11,0,N/A,0:00,9,-0.2,92:36,44,2.7,544:59,73,2.2,880:18,35,1.8,425:48,32,0.0,354:15,12,0.4,131:32
Noah Dobson,D,2018,12,0,N/A,0:00,34,1.2,451:25,46,2.9,754:07,80,8.3,1716:52,78,8.0,1589:50,79,9.9,1936:15,46,7.3,1104:52
Ty Dellandrea,C,2018,13,0,N/A,0:00,0,N/A,0:00,26,0.3,324:38,1,-0.1,10:37,82,2.0,1164:26,42,-0.3,532:12,41,0.3,481:49
Joel Farabee,LW,2018,14,0,N/A,0:00,52,1.9,733:29,55,4.3,881:00,63,2.9,1107:59,82,3.0,1394:53,82,4.7,1327:17,49,2.7,743:05
Grigori Denisenko,LW,2018,15,0,N/A,0:00,0,N/A,0:00,7,0.3,83:35,1,0.0,15:30,18,-0.2,178:01,6,-0.2,65:05,1,0.0,8:27
Martin Kaut,RW,2018,16,0,N/A,0:00,9,0.3,91:14,5,-0.1,39:59,6,0.0,52:51,9,0.5,127:41,0,N/A,0:00,0,N/A,0:00
Ty Smith,D,2018,17,0,N/A,0:00,0,N/A,0:00,48,2.6,965:54,66,1.6,1154:43,9,0.9,181:49,0,N/A,0:00,8,0.9,109:19
Liam Foudy,C,2018,18,0,N/A,0:00,2,0.1,28:26,24,-0.1,302:14,1,-0.1,11:51,62,0.0,752:21,12,0.0,121:46,2,0.0,14:54
Jay O'Brien,C,2018,19,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Rasmus Kupari,C,2018,20,0,N/A,0:00,0,N/A,0:00,7,-0.1,80:18,57,0.6,672:42,66,0.4,666:16,28,-0.5,255:57,48,0.8,487:57
Ryan Merkley,D,2018,21,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,39,0.9,599:44,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
K'Andre Miller,D,2018,22,0,N/A,0:00,0,N/A,0:00,53,3.3,1118:49,82,6.4,1689:51,79,7.5,1734:13,80,5.8,1724:59,44,5.4,958:55
Isac Lundestrom,C,2018,23,15,-0.1,195:26,15,0.0,208:39,41,0.3,624:57,80,2.4,1238:51,61,-0.2,874:22,46,0.4,659:41,47,1.5,659:26
Filip Johansson,D,2018,24,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Dominik Bokk,RW,2018,25,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Jacob Bernard-Docker,D,2018,26,0,N/A,0:00,0,N/A,0:00,5,0.2,68:18,8,0.3,118:09,19,0.3,304:19,72,2.2,1129:56,25,2.3,327:39
Nicolas Beaudin,D,2018,27,0,N/A,0:00,1,0.1,17:01,19,1.2,261:48,2,-0.1,12:19,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Nils Lundkvist,D,2018,28,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,25,1.2,348:18,60,2.7,978:32,59,3.5,832:16,39,3.3,585:26
Rasmus Sandin,D,2018,29,0,N/A,0:00,28,0.5,400:49,9,0.9,131:57,51,3.0,864:56,19,1.7,436:46,68,3.5,1436:12,50,7.0,967:45
Joseph Veleno,C,2018,30,0,N/A,0:00,0,N/A,0:00,5,0.1,75:31,66,0.3,872:09,81,0.8,1034:51,80,1.4,1116:31,45,1.3,531:41
Alexander Alexeyev,D,2018,31,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,1,0.0,10:35,32,0.9,526:33,39,0.5,534:09,5,0.5,66:06
Mattias Samuelsson,D,2018,32,0,N/A,0:00,0,N/A,0:00,12,-0.1,216:22,42,1.2,839:39,55,2.7,1219:41,41,1.8,840:30,33,3.7,608:39
Jonatan Berggren,RW,2018,33,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,67,2.2,901:48,12,0.5,130:20,48,2.3,630:45
Serron Noel,RW,2018,34,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Jesse Ylonen,RW,2018,35,0,N/A,0:00,0,N/A,0:00,1,0.0,11:23,14,0.5,161:55,37,0.9,497:32,59,0.2,604:00,0,N/A,0:00
Jared McIsaac,D,2018,36,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Jett Woo,D,2018,37,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Alexander Romanov,D,2018,38,0,N/A,0:00,0,N/A,0:00,54,1.6,931:50,79,2.1,1611:09,76,4.8,1478:10,81,5.6,1688:04,35,5.4,774:55
Olof Lindbom,G,2018,39,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Ryan McLeod,C,2018,40,0,N/A,0:00,0,N/A,0:00,10,-0.2,127:53,71,1.2,905:58,57,1.9,808:35,81,2.3,1153:41,47,4.0,736:36
Bode Wilde,D,2018,41,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Jack Drury,C,2018,42,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,2,0.4,31:55,38,0.5,409:50,74,2.1,908:39,3,0.4,39:38
Ruslan Iskhakov,C,2018,43,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,1,0.1,14:11,0,N/A,0:00
Albin Eriksson,RW,2018,44,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Scott Perunovich,D,2018,45,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,19,0.9,293:42,0,N/A,0:00,54,2.6,824:41,1,0.3,18:52
Martin Fehervary,D,2018,46,0,N/A,0:00,6,0.0,95:51,0,N/A,0:00,79,4.7,1552:35,67,2.8,1340:01,66,3.1,1295:39,50,5.3,961:50
Kody Clark,RW,2018,47,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Jonathan Tychonick,D,2018,48,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Kirill Marchenko,RW,2018,49,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,59,2.2,955:10,78,4.0,1280:17,50,8.5,948:37
Adam Ginning,D,2018,50,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,1,0.0,16:40,9,0.4,127:21,0,N/A,0:00
Akil Thomas,C,2018,51,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,7,0.6,61:06,18,0.4,183:54
Sean Durzi,D,2018,52,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,64,3.6,1254:03,72,4.8,1424:33,76,5.9,1726:41,4,0.8,85:50
Calen Addison,D,2018,53,0,N/A,0:00,0,N/A,0:00,3,0.0,55:33,15,0.3,206:50,62,3.2,999:26,60,0.3,1041:22,0,N/A,0:00
Benoit-Olivier Groulx,C,2018,54,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,18,0.1,197:54,2,-0.1,32:41,45,-1.0,548:29,0,N/A,0:00
Kevin Bahl,D,2018,55,0,N/A,0:00,0,N/A,0:00,7,0.3,118:25,17,0.3,267:40,42,1.6,588:51,82,2.4,1426:31,47,6.4,1001:09
Jacob Olofsson,C,2018,56,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Axel Andersson,D,2018,57,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00
Filip Hallander,C,2018,58,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,1,0.0,5:52,2,0.0,19:56,0,N/A,0:00,0,N/A,0:00
Gabriel Fortier,LW,2018,59,0,N/A,0:00,0,N/A,0:00,0,N/A,0:00,10,0.0,92:49,1,0.0,8:25,0,N/A,0:00,0,N/A,0:00
David Gustafsson,C,2018,60,0,N/A,0:00,22,-0.1,135:08,4,-0.1,23:16,2,0.0,4:56,46,0.0,464:29,39,0.4,361:05,20,0.6,180:32
