"Name","Position","Year","Selection","GPYr1","PSYr1","TOIYr1","GPYr2","PSYr2","TOIYr2","GPYr3","PSYr3","TOIYr3","GPYr4","PSYr4","TOIYr4","GPYr5","PSYr5","TOIYr5","GPYr6","PSYr6","TOIYr6","GPYr7","PSYr7","TOIYr7","TOI_sum_min","GP_sum","PS_sum"
"John Tavares","C",2009,1,82,5.1,1476.56666666667,79,7.4,1520.75,82,9.6,1686.6,48,6.6,997.183333333333,59,7.7,1253.26666666667,82,11.2,1695.2,78,9.3,1559.56666666667,10189.1333333333,510,56.9
"Victor Hedman","D",2009,2,74,3.9,1542.76666666667,79,5,1659.7,61,2.9,1409.06666666667,44,3,997.016666666667,75,9,1682.81666666667,59,7,1338.35,78,10.1,1799.16666666667,10428.8833333333,470,40.9
"Matt Duchene","C",2009,3,81,5.8,1436.36666666667,80,7.1,1515.58333333333,58,2.8,944.733333333333,47,4.5,983.266666666667,71,8.1,1313.26666666667,82,6.2,1522.88333333333,76,7.2,1412.88333333333,9128.98333333333,495,41.7
"Evander Kane","LW",2009,4,66,2.6,923.55,73,4.1,1303.95,74,7.8,1296.26666666667,48,3.7,981.716666666667,63,4.1,1278.21666666667,37,2.4,714.566666666667,65,3.8,1367.41666666667,7865.68333333334,426,28.5
"Brayden Schenn","C",2009,5,1,-0.1,12.5166666666667,8,0,89.9833333333333,54,1.5,762.716666666667,47,2.3,729.866666666667,82,4.6,1291.35,82,4.6,1400.56666666667,80,7.4,1351.51666666667,5638.51666666667,354,20.3
"Oliver Ekman-Larsson","D",2009,6,0,-2.5,0,48,2,721.7,82,6.7,1813,48,4.3,1204.61666666667,80,8.3,2071.61666666667,82,8.8,2067.45,75,9.5,1857.71666666667,9736.10000000001,415,37.1
"Nazem Kadri","C",2009,7,1,-0.1,17.4333333333333,29,0.7,457.483333333333,21,0.9,297.35,48,6.2,770.5,78,5.2,1356.45,73,4.1,1284.98333333333,76,4,1388.78333333333,5572.98333333333,326,21
"Scott Glennie","RW",2009,8,0,-2.5,0,0,-2.5,0,1,0,9.58333333333333,0,-2.5,0,0,-2.5,0,0,-2.5,0,0,-2.5,0,9.58333333333333,1,-15
"Jared Cowen","D",2009,9,1,0,6.76666666666667,0,-2.5,0,82,2.7,1549.2,7,0.5,142.016666666667,68,3,1394.83333333333,54,1,980.133333333333,37,1.2,628.233333333333,4701.18333333333,249,5.9
"Magnus Paajarvi","LW",2009,10,0,-2.5,0,80,2.6,1231.08333333333,41,-0.1,540.25,42,1.7,593.466666666667,55,0.8,563.616666666667,10,-0.1,97.9666666666667,48,0,616.8,3643.18333333333,276,2.4
"Ryan Ellis","D",2009,11,0,-2.5,0,0,-2.5,0,32,2.5,474.483333333333,32,1.3,524.133333333333,80,5.7,1285.38333333333,58,5.6,1100.95,79,7.6,1650.98333333333,5035.93333333333,281,17.7
"Calvin de Haan","D",2009,12,0,-2.5,0,0,-2.5,0,1,0.1,13.0166666666667,0,-2.5,0,51,2.4,1072.23333333333,65,2.3,1235.66666666667,72,3.6,1485.56666666667,3806.48333333334,189,0.9
"Zack Kassian","RW",2009,13,0,-2.5,0,0,-2.5,0,17,0.1,174.85,39,0.9,525.733333333333,73,3.3,943.816666666667,42,1.8,529.966666666667,36,0.2,448.266666666667,2622.63333333333,207,1.3
"Dmitry Kulikov","D",2009,14,68,2.9,1219.66666666667,72,5,1436.43333333333,58,4.8,1267.63333333333,34,2,713.2,81,2.3,1757.15,73,4.3,1555.73333333333,74,3.5,1556.55,9506.36666666666,460,24.8
"Peter Holland","C",2009,15,0,-2.5,0,0,-2.5,0,4,0.2,30.8166666666667,21,0.6,243.383333333333,39,0.9,451.616666666667,62,2.7,900.316666666667,65,1.8,953.283333333333,2579.41666666667,191,1.2
"Nick Leddy","D",2009,16,0,-2.5,0,46,1.4,658.366666666667,82,4.3,1810.76666666667,48,4.5,836.133333333333,82,5.5,1342.36666666667,78,7.7,1588.21666666667,81,5.9,1832.15,8068.00000000001,417,26.8
"David Rundblad","D",2009,17,0,-2.5,0,0,-2.5,0,6,0.3,84.7,8,-0.2,109.866666666667,5,-0.1,41.6833333333333,49,4,627.166666666667,9,0.2,129.35,992.766666666667,77,-0.8
"Louis Leblanc","C",2009,18,0,-2.5,0,0,-2.5,0,42,1.1,470.316666666667,0,-2.5,0,8,-0.1,78.9666666666667,0,-2.5,0,0,-2.5,0,549.283333333334,50,-11.5
"Chris Kreider","C",2009,19,0,-2.5,0,0,-2.5,0,0,-2.5,0,23,0.1,232.566666666667,66,5.1,1038.1,80,6.4,1256.91666666667,79,5.4,1260.6,3788.18333333334,248,9.5
"Jacob Josefson","C",2009,20,0,-2.5,0,28,1.2,370.633333333333,41,1,496.05,22,-0.4,285.6,27,0.1,273.583333333333,62,0.8,770.75,58,0,900.283333333333,3096.9,238,0.2
"John Moore","D",2009,21,0,-2.5,0,2,0,22.95,67,0.1,1060.05,13,1.7,153.05,74,4.1,1134.31666666667,19,0.2,355.65,73,4,1448.18333333333,4174.2,248,7.6
