Pick,V,L,U,V_L_U
1,100.0,92.65357715996136,107.9055882857825,"100.00 (92.65, 107.91)"
2,92.22564279077258,87.28946772423997,97.1734427218194,"92.23 (87.29, 97.17)"
3,86.08675062168774,81.29522772451087,90.78521233209672,"86.09 (81.30, 90.79)"
4,81.18346454270916,76.93960052464135,85.36930645437252,"81.18 (76.94, 85.37)"
5,77.11592560380059,73.50090783464297,80.60871398351443,"77.12 (73.50, 80.61)"
6,73.54287414431624,70.25938710612175,76.76343489165667,"73.54 (70.26, 76.76)"
7,70.35744766117224,67.15955809566981,73.58330340284421,"70.36 (67.16, 73.58)"
8,67.51138294067523,64.2570718884764,70.78366714008072,"67.51 (64.26, 70.78)"
9,64.95641676913185,61.73318343684157,68.18237940740322,"64.96 (61.73, 68.18)"
10,62.644285932848696,59.5190612735438,65.72638181903022,"62.64 (59.52, 65.73)"
11,60.52672721813242,57.58975729673091,63.39595757007309,"60.53 (57.59, 63.40)"
12,58.555477411289644,55.805647490108754,61.23406149023093,"58.56 (55.81, 61.23)"
13,56.682273298626995,54.069939141871444,59.211113279234425,"56.68 (54.07, 59.21)"
14,54.858851666451116,52.37182651864403,57.28598360501012,"54.86 (52.37, 57.29)"
15,53.036949301068624,50.576245864256016,55.44591664574932,"53.04 (50.58, 55.45)"
16,51.17817183112404,48.6781434266804,53.63433067728635,"51.18 (48.68, 53.63)"
17,49.28360025461345,46.77147909026884,51.79157632387802,"49.28 (46.77, 51.79)"
18,47.3641844118708,44.80661138748682,49.88469337297062,"47.36 (44.81, 49.88)"
19,45.43087414323009,42.858050557185145,47.984608491327926,"45.43 (42.86, 47.98)"
20,43.49461928902527,40.948451649960376,46.021385461783694,"43.49 (40.95, 46.02)"
21,41.566369689590324,39.089488223809774,44.04290871824904,"41.57 (39.09, 44.04)"
22,39.65707518525922,37.272486285145746,42.03763047491426,"39.66 (37.27, 42.04)"
23,37.77768561636592,35.5032302910212,40.03566629728349,"37.78 (35.50, 40.04)"
24,35.93915082324439,33.789361081198976,38.055714234435115,"35.94 (33.79, 38.06)"
25,34.15242064622862,32.13645503261043,36.13466833319232,"34.15 (32.14, 36.13)"
26,32.42844492565256,30.55856582517833,34.29137032543721,"32.43 (30.56, 34.29)"
27,30.778173501850183,29.029975526769938,32.515885750511295,"30.78 (29.03, 32.52)"
28,29.212556215155466,27.585684720832443,30.8318912161482,"29.21 (27.59, 30.83)"
29,27.742542905902386,26.18744030180724,29.27340932960183,"27.74 (26.19, 29.27)"
30,26.379083414424887,24.88385436243109,27.835987980297034,"26.38 (24.88, 27.84)"
31,25.130326163844433,23.681793744385256,26.54941069833787,"25.13 (23.68, 26.55)"
32,23.993213908432278,22.569323538029188,25.387947524339644,"23.99 (22.57, 25.39)"
33,22.96188798524719,21.534569722933348,24.35094232691391,"22.96 (21.53, 24.35)"
34,22.030489731347917,20.611083385272384,23.41435222594133,"22.03 (20.61, 23.41)"
35,21.193160483793193,19.77444642904953,22.580869744190988,"21.19 (19.77, 22.58)"
36,20.444041579641766,19.020906192092312,21.852488992186384,"20.44 (19.02, 21.85)"
37,19.777274355952386,18.354787258917543,21.188498749209323,"19.78 (18.35, 21.19)"
38,19.187000149783795,17.767482445776075,20.612043366453296,"19.19 (17.77, 20.61)"
39,18.667360298194755,17.24678378495906,20.09813546638002,"18.67 (17.25, 20.10)"
40,18.212496138244,16.77852820032329,19.645060503795854,"18.21 (16.78, 19.65)"
41,17.816549006990282,16.389371534475067,19.23971906458937,"17.82 (16.39, 19.24)"
42,17.473660241492343,16.057638751887254,18.886226695859328,"17.47 (16.06, 18.89)"
