Pick,V,L,U,V_L_U
1,100.0,93.36757952887041,106.6488291622139,"100.00 (93.37, 106.65)"
2,85.11383593138368,81.23192018608351,89.07084126243743,"85.11 (81.23, 89.07)"
3,75.45820843490603,71.66491940503828,79.3112510161782,"75.46 (71.66, 79.31)"
4,69.42732852612197,65.95763667477324,72.92927551546258,"69.43 (65.96, 72.93)"
5,65.4154072205865,62.56631930848518,68.34748722106438,"65.42 (62.57, 68.35)"
6,62.07717299297505,59.49001704227147,64.687432434222,"62.08 (59.49, 64.69)"
7,59.109424154445065,56.52191880813137,61.65769789949088,"59.11 (56.52, 61.66)"
8,56.469476475274476,53.83589459422196,59.07011545989299,"56.47 (53.84, 59.07)"
9,54.11464572574127,51.51158016576829,56.669347814776344,"54.11 (51.51, 56.67)"
10,52.00224767612334,49.50450646075598,54.44539528099496,"52.00 (49.50, 54.45)"
11,50.08959809669869,47.75345235955569,52.417351560552305,"50.09 (47.75, 52.42)"
12,48.3340127577452,46.17159059461017,50.50237369197883,"48.33 (46.17, 50.50)"
13,46.692807429540856,44.63477224630492,48.73868114796509,"46.69 (44.63, 48.74)"
14,45.1232978823636,43.122086062202726,47.08919600619086,"45.12 (43.12, 47.09)"
15,43.582799886491365,41.62108906407462,45.5393461589767,"43.58 (41.62, 45.54)"
16,42.03687263921911,40.05049535859712,44.01849440588994,"42.04 (40.05, 44.02)"
17,40.484049045909856,38.459933388831715,42.50846708263772,"40.48 (38.46, 42.51)"
18,38.931105438943625,36.87008349479972,40.97682094797819,"38.93 (36.87, 40.98)"
19,37.38481815070044,35.34456187671742,39.4412263780105,"37.38 (35.34, 39.44)"
20,35.851963513560314,33.852818104504685,37.89441724710813,"35.85 (33.85, 37.89)"
21,34.33931785990328,32.38489741222597,36.32956857891066,"34.34 (32.38, 36.33)"
22,32.853657522109366,30.978293573947372,34.77534056560865,"32.85 (30.98, 34.78)"
23,31.401758832558606,29.59882725877797,33.23042563068465,"31.40 (29.60, 33.23)"
24,29.990398123630992,28.281799745893434,31.701786697877623,"29.99 (28.28, 31.70)"
25,28.626351727706577,27.034644198399583,30.22792845767073,"28.63 (27.03, 30.23)"
26,27.316395977165367,25.829363443411605,28.79909864146906,"27.32 (25.83, 28.80)"
27,26.067307204387408,24.680214199017897,27.444218542040353,"26.07 (24.68, 27.44)"
28,24.885861741752695,23.594609685228352,26.177660737603343,"24.89 (23.59, 26.18)"
29,23.778835921641278,22.561071060929557,25.007526575300734,"23.78 (22.56, 25.01)"
30,22.75300607643316,21.60001635498763,23.921477967806933,"22.75 (21.60, 23.92)"
31,21.813288396685863,20.692773366861076,22.937627663179097,"21.81 (20.69, 22.94)"
32,20.957158505666758,19.861057238836754,22.065405808242463,"20.96 (19.86, 22.07)"
33,20.18023188482076,19.090478557646623,21.274763643525507,"20.18 (19.09, 21.27)"
34,19.478124015592723,18.379685516034776,20.573752710837017,"19.48 (18.38, 20.57)"
35,18.84645037942753,17.74826962850956,19.943057134475843,"18.85 (17.75, 19.94)"
36,18.28082645777007,17.181224790883153,19.379398242726456,"18.28 (17.18, 19.38)"
37,17.776867732065213,16.6648722320097,18.87664935932716,"17.78 (16.66, 18.88)"
38,17.330189683757837,16.208989744395126,18.434329849116622,"17.33 (16.21, 18.43)"
39,16.93640779429282,15.807437933331457,18.0451285255555,"16.94 (15.81, 18.05)"
40,16.591137545115046,15.461449577871658,17.699466272885477,"16.59 (15.46, 17.70)"
41,16.28999441766939,15.164588193104507,17.393871135923852,"16.29 (15.16, 17.39)"
42,16.028593893400732,14.9126910274545,17.123459796536835,"16.03 (14.91, 17.12)"
43,15.802551453753951,14.690404576566578,16.888570917193594,"15.80 (14.69, 16.89)"
44,15.607482580173917,14.50434396548951,16.680483962615675,"15.61 (14.50, 16.68)"
45,15.439002754105518,14.353301050663088,16.503030592168457,"15.44 (14.35, 16.50)"
46,15.292727456993632,14.220688353385306,16.34628528229551,"15.29 (14.22, 16.35)"
