test_year,n_train,n_test,rmse_normalized,weighted_rmse_normalized,rmse_raw,weighted_rmse_raw
2009,1889,210,8.146069812748076,25.631318965277323,9.021447208405744,28.385662809468652
2010,1889,210,8.490617964614767,29.3040151422095,9.4030205356997,32.453027248312054
2011,1890,209,9.093388232819207,28.33107680620193,10.070564551206788,31.37553687110089
2012,1889,210,9.208025329462025,29.916986527450657,10.197520560578281,33.13186859381127
2013,1889,210,7.398135518323611,25.288248668316374,8.193139827348539,28.0057261475017
2014,1889,210,9.586348777180202,29.866679076723674,10.616498680057498,33.07615509989882
2015,1889,210,12.522986912981432,41.188786484861396,12.28214968673473,40.396659721621006
2016,1889,210,9.90680763147998,36.32381647307116,10.971394071698677,40.22717706234377
2017,1889,210,8.251846079221885,28.157550575889704,9.138590202000323,31.183363496452714
2018,1889,210,8.034462708864456,27.475264413353383,8.897846795088215,30.427758801448185
