Pick,V,L,U,V_L_U
1,100.0,92.60142697572186,107.47342605045392,"100.00 (92.60, 107.47)"
2,89.53467206467515,85.23334609564871,93.9390042858645,"89.53 (85.23, 93.94)"
3,82.04195442449927,77.70941791526478,86.3353821246594,"82.04 (77.71, 86.34)"
4,76.64371140840036,72.70219070187004,80.59497333916708,"76.64 (72.70, 80.59)"
5,72.46180734530647,69.09061018948586,75.72476325471446,"72.46 (69.09, 75.72)"
6,68.75935541144301,65.71755090466489,71.79298217599136,"68.76 (65.72, 71.79)"
7,65.36446417222494,62.37444132392833,68.34434462469972,"65.36 (62.37, 68.34)"
8,62.24649104036464,59.25198513272255,65.26698774641595,"62.25 (59.25, 65.27)"
9,59.37479342857438,56.403332413993645,62.33526776008835,"59.37 (56.40, 62.34)"
10,56.718728749566566,53.89111198562088,59.58762583826095,"56.72 (53.89, 59.59)"
11,54.24765441605357,51.579727559240034,56.96384638309272,"54.25 (51.58, 56.96)"
12,51.93092784074766,49.44994354129703,54.44679578165033,"51.93 (49.45, 54.45)"
13,49.73790643636123,47.39775233638953,52.07696148632182,"49.74 (47.40, 52.08)"
14,47.63794761560664,45.370470427310764,49.85506888248862,"47.64 (45.37, 49.86)"
15,45.60040879119622,43.33825760225775,47.81619741831362,"45.60 (43.34, 47.82)"
16,43.60046418468554,41.30450655773991,45.87327383466199,"43.60 (41.30, 45.87)"
17,41.636555253003095,39.288879639966645,43.94547942732723,"41.64 (39.29, 43.95)"
18,39.71294026192055,37.349048034933226,42.05846634625505,"39.71 (37.35, 42.06)"
19,37.833877477209654,35.47219548355464,40.18606342019283,"37.83 (35.47, 40.19)"
20,36.003625164642074,33.66673012693145,38.335479983644895,"36.00 (33.67, 38.34)"
21,34.22644158998952,31.931120630623887,36.504442991481255,"34.23 (31.93, 36.50)"
22,32.50658501902371,30.285411671766127,34.696119698074874,"32.51 (30.29, 34.70)"
23,30.848313717516344,28.73285741613795,32.93578965635998,"30.85 (28.73, 32.94)"
24,29.255885951239105,27.256435490726677,31.236326978074864,"29.26 (27.26, 31.24)"
25,27.73355998596371,25.8724501825296,29.58313314614159,"27.73 (25.87, 29.58)"
26,26.285594087461853,24.55086061613355,27.999898491089937,"26.29 (24.55, 28.00)"
27,24.91624652150524,23.30821113030473,26.50427705689227,"24.92 (23.31, 26.50)"
28,23.62977555386558,22.14383550009877,25.11664906718229,"23.63 (22.14, 25.12)"
29,22.430439450314562,21.050500900783387,23.82815609136281,"22.43 (21.05, 23.83)"
30,21.322496476623904,20.009625755054298,22.64203617783281,"21.32 (20.01, 22.64)"
31,20.308699694426515,19.026549367823506,21.578020996022477,"20.31 (19.03, 21.58)"
32,19.385781348800116,18.1395832592573,20.63418491097233,"19.39 (18.14, 20.63)"
33,18.54896848068368,17.311889698971587,19.794200386195413,"18.55 (17.31, 19.79)"
34,17.793488131016137,16.559402455130524,19.043320603083455,"17.79 (16.56, 19.04)"
35,17.11456734073645,15.874035216620799,18.36131336473969,"17.11 (15.87, 18.36)"
36,16.507433150783555,15.25732230813483,17.752350291388023,"16.51 (15.26, 17.75)"
37,15.967312602096412,14.712297971970937,17.227395328629225,"15.97 (14.71, 17.23)"
38,15.489432735613958,14.225094769742213,16.753163085235933,"15.49 (14.23, 16.75)"
39,15.069020592275159,13.80967678176931,16.327605698009496,"15.07 (13.81, 16.33)"
40,14.701303213018942,13.438493469030057,15.960346258157008,"14.70 (13.44, 15.96)"
41,14.38150763878427,13.12578577035246,15.63273611030912,"14.38 (13.13, 15.63)"
42,14.104860910510094,12.865636144897222,15.35025018233008,"14.10 (12.87, 15.35)"
43,13.866590069135349,12.639571224135738,15.106989661064972,"13.87 (12.64, 15.11)"
44,13.661922155598992,12.44095660475204,14.890729842596901,"13.66 (12.44, 14.89)"
45,13.486084210839975,12.280085216231678,14.690597104342942,"13.49 (12.28, 14.69)"
46,13.334303275797238,12.137893248510961,14.520937515405372,"13.33 (12.14, 14.52)"
47,13.201806391409738,12.021917786676292,14.36756525202415,"13.20 (12.02, 14.37)"
48,13.083820598616418,11.921837393671822,14.228617792969185,"13.08 (11.92, 14.23)"
49,12.975572938356228,11.823551072136585,14.103734467841516,"12.98 (11.82, 14.10)"
50,12.87229045156812,11.735233064683506,13.981960129034887,"12.87 (11.74, 13.98)"
51,12.769998469096626,11.64112974015279,13.860128059929128,"12.77 (11.64, 13.86)"
52,12.667915481408622,11.556799487564628,13.74999479050007,"12.67 (11.56, 13.75)"
53,12.566058268876581,11.46737695200222,13.639787434334423,"12.57 (11.47, 13.64)"
54,12.464443611872966,11.378197012631883,13.529208692969634,"12.46 (11.38, 13.53)"
55,12.36308829077024,11.285317047207258,13.414107410806247,"12.36 (11.29, 13.41)"
