test_year,n_train,n_test,rmse_normalized,weighted_rmse_normalized,rmse_raw,weighted_rmse_raw
2009,1908,210,12.705041290989895,532.3996529490732,1556.2280825258315,65213.11281640079
2010,1908,210,12.394200495149288,566.538054833308,1518.1534974377153,69394.69227671121
2011,1908,210,13.298646871125928,551.7392995496999,1628.9382495055218,67582.00721482864
2012,1907,211,14.863175054032144,603.9048574567915,1820.5757765608992,73971.7153862783
2013,1907,211,12.244894733275377,568.1415823722614,1468.3858249685027,68130.52004959542
2014,1908,210,13.450991032992734,556.5056287408951,1647.5987369038678,68165.83021610933
2015,1907,211,15.607296722780458,679.447820698242,1911.7225120337978,83224.89907462524
2016,1907,211,13.784911523550587,648.269948034177,1688.500331226545,79405.95194317107
2017,1901,217,11.788788299097407,486.80625503296477,1443.9971496210628,59628.42209484121
2018,1901,217,11.387455950700032,503.8841830972129,1394.8383427587064,61720.28080165129
